reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category
ETSI GR QSC 020,Quantum-safe Hybrid Multi-Factor Authentication,https://www.etsi.org/deliver/etsi_gr/QSC/001_099/020/01.01.01_60/gr_QSC020v010101p.pdf,2024-03-01,2024-03-01,Group Report,"Framework for quantum-safe multi-factor authentication using hybrid approaches.",Guidance,"Identity Management; Access Control; Enterprise","ETSI QSC","FIPS 203/204",Europe,Hybrid Auth,N/A,"MFA and identity systems","IAM solutions",Medium,New,General PQC Migration
NSA CNSA 2.0,Commercial National Security Algorithm Suite 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,2022-09-01,2025-05-30,Policy/Advisory,"US government adoption requirements for ML-KEM-1024, ML-DSA-87, SLH-DSA, LMS/XMSS. Level 5 recommended.",Compliance/Policy,"Government; Defense; NSS",NSA,"FIPS 203/204/205; SP 800-208",USA,Various,"Level 5 recommended","All federal/NSS systems","Government procurement",High,Validated,General PQC Migration
NSA CNSA 2.0 FAQ,CNSA 2.0 Frequently Asked Questions,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,2022-09-01,2024-12-01,Policy/Advisory,"FAQ document with implementation timelines: 2025-2030 prefer, 2030-2033 exclusive, 2035 complete.",Compliance/Policy,"Government; Defense",NSA,"CNSA 2.0 CSA",USA,N/A,N/A,"Implementation timeline guidance","Government agencies",High,Updated,General PQC Migration
NSA CSfC PQC Guidance Addendum,CSfC Post Quantum Cryptography Guidance Addendum,https://www.nsa.gov/Portals/75/documents/resources/everyone/csfc/capability-packages/CSfC%20Post%20Quantum%20Cryptography%20Guidance%20Addendum%201_0.pdf,2025-06-01,2025-12-31,Policy/Advisory,"Guidance for implementing PQC in Commercial Solutions for Classified (CSfC) programs.",Compliance/Policy,"Defense; Intelligence; Critical Infrastructure",NSA,"CNSA 2.0; FIPS 203/204/205",USA,"ML-KEM, ML-DSA",Level 5,"CSfC certified products","CSfC vendors",High,New,General PQC Migration
BSI TR-02102-1,Cryptographic Mechanisms: Recommendations and Key Lengths,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-1.pdf,2025-01-31,2025-01-31,Technical Guideline,"German federal recommendations including ML-KEM, ML-DSA, SLH-DSA, XMSS, LMS. Version 2025-01.",Compliance/Guidance,"Gov; Finance; Critical Infrastructure; IT",BSI Germany,"FIPS 203/204/205",Germany; EU,"Lattice; Hash-based","L3,L5 recommended","German federal systems and beyond","Various implementations",High,Updated,General PQC Migration
BSI TR-02102-2,Cryptographic Mechanisms: Recommendations for TLS,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-2.pdf,2025-01-31,2025-01-31,Technical Guideline,"TLS-specific PQC recommendations including hybrid key exchange. Version 2025-01.",Compliance/Guidance,"Web; Cloud; Enterprise","BSI Germany","TR-02102-1; RFC 8446; FIPS 203",Germany; EU,"Lattice+ECDH",N/A,"TLS configuration","TLS implementations",High,Updated,Protocols
BSI TR-02102-3,Cryptographic Mechanisms: Recommendations for IPsec,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,2025-01-31,2025-01-31,Technical Guideline,"IPsec/IKEv2-specific PQC recommendations. Version 2025-01.",Compliance/Guidance,"VPN; Enterprise; Gov","BSI Germany","TR-02102-1; RFC 7296",Germany; EU,"Lattice+ECDH",N/A,"IPsec/VPN configuration","VPN implementations",High,Updated,Protocols
BSI TR-02102-4,Cryptographic Mechanisms: Recommendations for SSH,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-4.pdf,2025-01-31,2025-01-31,Technical Guideline,"SSH-specific PQC recommendations for secure remote access. Version 2025-01.",Compliance/Guidance,"Remote Access; Enterprise; Government","BSI Germany","TR-02102-1; FIPS 203",Germany; EU,"Lattice+ECDH",N/A,"SSH configuration","OpenSSH; commercial SSH",High,New,Protocols
ANSSI PQC Position Paper,ANSSI Views on Post-Quantum Cryptography Transition,https://cyber.gouv.fr/sites/default/files/document/avis_anssi_sur_la_migration_vers_la_cryptographie_post_quantique_2022.pdf,2022-01-01,2022-01-01,Position Paper,"French national guidance mandating hybrid approach for products requiring security beyond 2030.",Compliance/Guidance,"Gov; Critical Infrastructure; Defense",ANSSI France,"NIST PQC",France; EU,N/A,"L5 recommended","French systems requiring long-term security","French government",High,Validated,General PQC Migration
ANSSI PQC Follow-up Paper,ANSSI Views on Post-Quantum Cryptography Transition (2023 Follow-up),https://cyber.gouv.fr/sites/default/files/document/follow_up_position_paper_on_post_quantum_cryptography.pdf,2023-12-01,2023-12-01,Position Paper,"Updated guidance on hybridization requirements and timeline phases through 2030+.",Compliance/Guidance,"Gov; Critical Infrastructure",ANSSI France,"NIST PQC; ANSSI 2022",France; EU,"Lattice; Hash-based","L5 recommended","French national security systems","French agencies",High,Updated,General PQC Migration
EU PQC Recommendation,Recommendation on Coordinated Implementation Roadmap for PQC Transition,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11,2024-04-11,Policy Recommendation,"EU-wide coordination framework for member state PQC transitions. Target 2030 for critical systems.",Compliance/Policy,"Gov; Critical Infrastructure; Finance",European Commission,"NIST PQC; ETSI QSC",EU,N/A,N/A,"EU member state coordination","EU member states",High,Validated,General PQC Migration
ENISA PQC Guidelines,Post-Quantum Cryptography: Current State and Quantum Mitigation,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation,2021-07-01,2024-12-01,Position Paper,"ENISA recommendations on PQC adoption strategy for European organizations.",Guidance,"Enterprise; Government; Critical Infrastructure",ENISA,"NIST PQC; ETSI",EU,N/A,N/A,"European PQC strategy","EU organizations",High,Updated,General PQC Migration
EUCC v2.0 ACM,EU Cybersecurity Certification Agreed Cryptographic Mechanisms v2.0,https://www.enisa.europa.eu/publications/eucc-candidate-eucc-scheme-v1-2.0,2025-04-01,2025-04-01,Certification Framework,"Includes PQC algorithms in Agreed Cryptographic Mechanisms for EUCC certification.",Compliance/Guidance,"ICT Products; Services; EU Market",ECCG/ENISA,"FIPS 203/204/205; ISO 15408",EU,"Lattice; Hash-based","L1,L3,L5","EU product certification","EU vendors",High,New,General PQC Migration
UK NCSC PQC Guidance,Preparing for Quantum-Safe Cryptography,https://www.ncsc.gov.uk/whitepaper/preparing-for-quantum-safe-cryptography,2024-11-01,2025-01-01,White Paper,"UK guidance on PQC migration with 2035 deadline for full transition.",Guidance,"Government; Critical National Infrastructure; Enterprise",UK NCSC,"NIST PQC; ETSI",UK; International,N/A,N/A,"UK PQC migration strategy","UK organizations",High,New,General PQC Migration
NIST NCCoE SP 1800-38C,Migration to Post-Quantum Cryptography (Preliminary Draft),https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38c-preliminary-draft.pdf,2023-12-01,2023-12-01,Preliminary Draft Practice Guide,"Practical guidance for enterprise PQC migration with use cases and reference architectures.",Guidance,"Enterprise IT; Gov; Finance","NIST NCCoE","FIPS 203/204/205",USA,N/A,N/A,"Enterprise migration planning","Reference implementations",High,Validated,General PQC Migration
ISO/IEC 14888-4:2024,Hash-based Digital Signatures,https://www.iso.org/standard/80966.html,2024-01-01,2024-01-01,International Standard,"Standardizes XMSS and LMS stateful hash-based signatures at ISO level.",Algorithm,"Global; All industries; Firmware",ISO/IEC JTC 1/SC 27,"SP 800-208; RFC 8554/8391",Global,"Hash-based (stateful)","L1-L5","ISO-certified hash-based signatures","Global implementations",Medium,New,Digital Signature
ISO/IEC 18033-2:2006/AMD1:2017,Asymmetric Encryption Algorithms,https://www.iso.org/standard/37971.html,2006-01-01,2017-12-01,International Standard,"ISO standard for asymmetric encryption. Updates planned for PQC KEMs.",Algorithm,"Global; All industries",ISO/IEC JTC 1/SC 27,"ISO standards",Global,Classical + planned PQC,Various,"Asymmetric encryption standards","Global",Medium,Updated,KEM
ISO/IEC NP 29192-8,Lightweight Cryptography - Part 8: Post-Quantum Algorithms,https://www.iso.org/standard/88299.html,2024-06-01,2024-06-01,New Project,"Standardization of lightweight PQC algorithms for constrained devices.",Algorithm,"IoT; Embedded Systems; Mobile",ISO/IEC JTC 1/SC 27,"NIST Lightweight PQC",Global,"Lattice; Hash-based","L1,L3","Lightweight PQC for IoT","IoT implementations",Medium,New,General PQC Migration
China OSCCA GM/T 0108-2021,Technical Specification for Quantum Key Distribution Products,https://www.gmbz.org.cn/,2021-01-01,2021-01-01,National Standard,"Chinese cryptographic industry standard for QKD products using deceptive state BB84.",Protocol,"Government; Critical Infrastructure; Finance",OSCCA China,"GB/T standards",China,QKD,N/A,"Quantum key distribution systems","Chinese QKD vendors",Medium,Validated,KEM
China GB/T 42829-2023,Basic Requirements for Quantum Secure Communication Applications,https://www.gb688.cn/,2023-01-01,2023-01-01,National Standard,"Chinese national standard defining requirements for quantum secure communication systems.",Compliance/Guidance,"Government; Telecom; Critical Infrastructure",SAC China,"GM/T standards",China,QKD,N/A,"Quantum communication deployment","Chinese systems",Medium,New,Protocols
China GB/T 43692-2024,Quantum Communication Terms and Definitions,https://www.gb688.cn/,2024-01-01,2024-01-01,National Standard,"Standardizes terminology for quantum communication in China.",Guidance,"All quantum sectors; Research; Industry",SAC China,"QKD standards",China,N/A,N/A,"Quantum communication terminology","Chinese quantum industry",Low,New,General PQC Migration
China YD/T 3834.1-2021,Quantum Key Distribution System Technical Requirements - Part 1,https://www.ccsa.org.cn/,2021-01-01,2021-01-01,Communications Industry Standard,"Technical requirements for QKD systems based on BB84 protocol.",Protocol,"Telecom; Government; Finance",CCSA China,"GM/T 0108",China,QKD,N/A,"QKD system specifications","Telecom operators",Medium,Validated,Protocols
China CACR PQC Competition Results,Chinese Post-Quantum Cryptography Competition Winners,https://www.cacrnet.org.cn/,2020-02-01,2020-02-01,Competition Results,"Results of CACR national PQC competition: Aigi-sig, LAC.PKE, Aigis-enc (lattice-based).",Research/Report,"Research; Cryptography Development",CACR China,"Similar to NIST PQC",China,"Lattice-based","L1,L5","Potential Chinese PQC standards","Chinese research",Medium,Validated,General PQC Migration
China ICCS PQC Call for Proposals,ICCS Post-Quantum Cryptography Algorithm Solicitation,https://www.gmbz.org.cn/,2025-02-01,2025-03-15,Call for Proposals,"Chinese initiative for independent PQC algorithms for public-key crypto, hash functions, block ciphers.",Compliance/Policy,"Government; Industry; Research",ICCS China,"Chinese cryptography standards",China,"Various PQC families","L1,L3,L5","Chinese PQC algorithm standardization","Chinese vendors",High,New,General PQC Migration
Japan CRYPTREC Report 2024,Post-Quantum Cryptography Evaluation Report,https://www.cryptrec.go.jp/en/,2024-04-01,2024-04-01,Technical Report,"Japanese evaluation of NIST PQC algorithms and recommendations for Japanese adoption.",Guidance,"Government; Critical Infrastructure; Finance",CRYPTREC Japan,"NIST FIPS 203/204/205",Japan,N/A,N/A,"Japanese PQC adoption guidance","Japanese agencies",Medium,New,General PQC Migration
Singapore IMDA Cyber Security Guide,Post-Quantum Cryptography Readiness Guide,https://www.imda.gov.sg/,2024-06-01,2024-06-01,Guidance,"Singapore guidance for organizations preparing for PQC transition.",Guidance,"Telecom; Finance; Critical Info Infrastructure",IMDA Singapore,"NIST PQC; ETSI",Singapore; ASEAN,N/A,N/A,"Singapore PQC readiness","Singapore entities",Medium,New,General PQC Migration
Australia ASD PQC Guidance,Post-Quantum Cryptography Roadmap,https://www.cyber.gov.au/,2024-03-01,2024-03-01,Policy Recommendation,"Australian guidance with aggressive 2030 deadline for PQC migration.",Compliance/Policy,"Government; Critical Infrastructure",ASD Australia,"NIST PQC; CNSA 2.0",Australia,N/A,N/A,"Australian PQC timeline","Australian government",High,New,General PQC Migration
Canada CSE PQC Guidance,Guidance on Post-Quantum Cryptography,https://cyber.gc.ca/,2023-09-01,2023-09-01,Guidance,"Canadian Centre for Cyber Security guidance on PQC adoption.",Guidance,"Government; Critical Infrastructure; Finance",CCCS Canada,"NIST PQC; CNSA 2.0",Canada,N/A,N/A,"Canadian PQC strategy","Canadian entities",Medium,New,General PQC Migration
GSMA FS.50 PQC Guidelines,Post-Quantum Cryptography Integration in Mobile Networks,https://www.gsma.com/,2024-10-01,2024-10-01,Permanent Reference Document,"Guidance for integrating PQC into TLS, IKE, and 5G infrastructure.",Guidance,"Mobile Networks; Telecom; 5G",GSMA,"FIPS 203/204; 3GPP standards",Global,Hybrid approaches,N/A,"5G and mobile network PQC","Mobile operators",High,New,Protocols
CA/Browser Forum Ballot SC-PQC,Post-Quantum Algorithm Requirements for Public Trust Certificates,https://cabforum.org/,2025-06-01,2025-11-01,Ballot/Draft,"CA/Browser Forum requirements for ML-DSA certificates in Web PKI.",Compliance/Policy,"Web PKI; Certificate Authorities; Browsers",CA/Browser Forum,"RFC 9881; FIPS 204",Global,Lattice-based,"L3,L5","Public Web PKI certificates","CAs; Browsers",High,New,PKI Certificate Management
WebPKI PQC Timeline,Web PKI Post-Quantum Cryptography Adoption Timeline,https://github.com/WICG/webpackage,2025-01-01,2025-12-01,Industry Planning,"Coordination of PQC certificate rollout among browsers and CAs. Pilot in 2025, broader 2026-2027.",Guidance,"Web PKI; Browsers; CAs","Browser vendors; CAs","RFC 9881; CA/B Forum",Global,Lattice-based,"L3,L5","Browser and CA coordination","Chrome; Firefox; Safari; CAs",High,New,PKI Certificate Management
IEEE 1609.2 Amendment,Security Services for Applications and Management Messages - PQC Update,https://standards.ieee.org/,2025-01-01,2025-12-31,Standard Amendment,"IEEE vehicular communications security standard update for PQC.",Algorithm,"Automotive; V2X; Transportation",IEEE,"FIPS 203/204",Global,"Lattice-based","L3,L5","Vehicle-to-everything communications","Automotive OEMs",Medium,New,Protocols
3GPP TS 33.501 Rel-19,Security Architecture and Procedures for 5G - PQC Enhancements,https://www.3gpp.org/,2025-06-01,2025-12-01,Technical Specification,"5G security architecture updates incorporating PQC algorithms.",Protocol,"Mobile Networks; 5G; Telecom",3GPP,"FIPS 203/204; GSMA guidelines",Global,"Hybrid approaches","L3,L5","5G network security","Network equipment vendors",High,New,Protocols
ITU-T X.1819,Quantum-safe cryptography guidelines,https://www.itu.int/,2024-02-01,2024-02-01,International Standard,"ITU guidance on implementing quantum-safe cryptography in telecommunications.",Guidance,"Telecom; International Communications",ITU-T SG17,"NIST PQC; ETSI",Global,N/A,N/A,"Telecom quantum-safe guidance","Telecom operators",Medium,New,General PQC Migration
IETF RFC 8391,XMSS: eXtended Merkle Signature Scheme,https://www.rfc-editor.org/rfc/rfc8391.html,2018-05-01,2018-05-01,Informational,"Specifies XMSS stateful hash-based signatures for long-term security.",Algorithm,"Firmware; Long-term Security; Archival","IETF CFRG","SP 800-208",International,"Hash-based (stateful)","L1-L5","Firmware and long-term signatures","Various implementations",Medium,Validated,Digital Signature
IETF RFC 8554,Leighton-Micali Hash-Based Signatures,https://www.rfc-editor.org/rfc/rfc8554.html,2019-04-01,2019-04-01,Informational,"Specifies LMS/HSS stateful hash-based signature schemes.",Algorithm,"Firmware; Critical Infrastructure; Secure Boot","IETF CFRG","SP 800-208",International,"Hash-based (stateful)","L1-L5","Secure boot and firmware signing","wolfSSL; Bouncy Castle",Medium,Validated,Digital Signature
IETF RFC 9370,Multiple Key Exchanges in IKEv2,https://www.rfc-editor.org/rfc/rfc9370.html,2023-05-01,2023-05-01,Standards Track,"Framework for up to 7 additional KEMs in IKEv2 for PQ/T hybrid approaches.",Protocol,"VPN; IPsec; Enterprise","IETF IPSECME","RFC 7296",International,Hybrid KEMs,N/A,"IKEv2 multiple key exchange framework","VPN implementations",High,Validated,Protocols
IETF RFC 8784,Mixing Preshared Keys in IKEv2 for Post-quantum Security,https://www.rfc-editor.org/rfc/rfc8784.html,2020-06-01,2020-06-01,Standards Track,"Defines Post-quantum Preshared Keys (PPK) for quantum-resistant IKEv2.",Protocol,"VPN; Government; High Security","IETF IPSECME","RFC 7296",International,Symmetric PSKs,N/A,"Quantum-resistant PSK mixing","VPN implementations",Medium,Validated,Protocols
IETF-TLS-ECDHE-MLKEM-03,Post-quantum hybrid ECDHE-MLKEM Key Agreement for TLSv1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-ecdhe-mlkem/,2025-11-22,2025-11-22,Draft,"Defines three hybrid key agreements for TLS 1.3: X25519MLKEM768, SecP256r1MLKEM768, SecP384r1MLKEM1024 combining ML-KEM with ECDHE",Internet-Draft,All TLS-using industries,"Kwiatkowski (PQShield); Kampanakis (AWS); Westerbaan (Cloudflare); Stebila (U. Waterloo)","TLS 1.3 RFC8446, FIPS 203",Global,Lattice-based (ML-KEM) + ECDH,"Level 3, Level 5",TLS 1.3 Key Exchange,"OpenSSL, GnuTLS",High,New,PQC Protocol Specification
IETF-LAMPS-COMPOSITE-KEM-11,Composite ML-KEM for use in X.509 Public Key Infrastructure,https://datatracker.ietf.org/doc/draft-ietf-lamps-pq-composite-kem/,2025-12-03,2025-12-03,Draft,"Defines combinations of ML-KEM with RSA-OAEP, ECDH, X25519, X448 for X.509 PKI hybrid deployments enabling gradual transition",Internet-Draft,"PKI, CA/RA, Financial, Government","Ounsworth; Gray (Entrust); Pala (OpenCA); Klaussner (Bundesdruckerei); Fluhrer (Cisco)","FIPS 203, X.509, RFC5280",Global,Lattice-based + Traditional,"Level 3, Level 5",X.509 Certificates PKI,"OpenSSL, BoringSSL",Critical,Updated,PQC Certificate Standard
CISA-PQC-CATEGORY-LIST-2025,CISA PQC Product Category List,https://www.cisa.gov/quantum,2025-12-01,2025-12-01,Published,"Initial product category list defining criteria for PQC-enabled products across technology verticals including data management, networking, and endpoint security",Guidance,"Federal Government, Critical Infrastructure",CISA/ATARC,"FIPS 203, FIPS 204, FIPS 205",US Federal,All PQC Families,"Level 3, Level 5",Federal Procurement,Multiple,Critical,New,Government Guidance
