software_name,category_id,category_name,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date
Marvell LiquidSecurity 2,CSC-002,Hardware Security Module (HSM) Software,Planned,"Cloud HSM adapter providing hardware-accelerated cryptographic operations. No public PQC algorithm support announced. Focuses on cloud-scale key management and TLS offloading.",Commercial,Commercial,LiquidSecurity 2,2024,Yes (FIPS 140-2 L3),High,Cloud Hardware,"Cloud, Finance, Enterprise",https://www.marvell.com/products/security-solutions.html,,"Cloud HSM adapter for hyperscale environments. PQC firmware updates expected as NIST standards mature.",Trusted Vendor,Partially Verified,2026-02-16
AWS CloudHSM,CSC-002,Hardware Security Module (HSM) Software,No,"Managed HSM service using FIPS 140-2 Level 3 validated hardware. Does not currently expose PQC algorithms through CloudHSM API despite AWS-LC library having PQC support.",Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-2 L3),High,AWS Cloud,All industries,https://docs.aws.amazon.com/cloudhsm/latest/userguide/introduction.html,,"Managed single-tenant HSM service. PQC algorithms not yet available through CloudHSM API.",Trusted Vendor,Partially Verified,2026-02-16
Google Cloud HSM,CSC-002,Hardware Security Module (HSM) Software,No,"Cloud KMS with HSM-backed keys using FIPS 140-2 Level 3 hardware. Does not currently support PQC algorithms for customer key operations. Google uses hybrid PQC internally but Cloud HSM/KMS API does not expose PQC key types.",Commercial,Commercial (Google),Current,2025,Yes (FIPS 140-2 L3),High,Google Cloud,All industries,https://cloud.google.com/kms/docs/hsm,,"Google managed HSM service. PQC not yet available for customer keys despite Google internal PQC deployment.",Trusted Vendor,Partially Verified,2026-02-16
DigiCert Trust Lifecycle Manager,CSC-004,Public Key Infrastructure (PKI) Software,"Yes (Hybrid PQC Certificates ML-DSA)","PQC pioneer with hybrid certificate issuance capabilities. Supports hybrid X.509 certificates combining classical RSA/ECDSA with ML-DSA signatures. PQC certificate testing environment available. Automated discovery of quantum-vulnerable certificates.",Commercial,Commercial,Current,2025,Yes (WebTrust),Critical,Cloud SaaS,All industries,https://www.digicert.com/trust-lifecycle-manager,,"Leading CA with PQC hybrid certificate capabilities. Automated certificate lifecycle management with quantum readiness assessment.",Trusted Vendor,Verified,2026-02-16
Sectigo Certificate Manager,CSC-004,Public Key Infrastructure (PKI) Software,Planned,"Dedicated PQC readiness page indicates active development. Certificate lifecycle management platform preparing for PQC certificate issuance. Hybrid certificate support expected.",Commercial,Commercial,Current,2025,Yes (WebTrust),High,Cloud SaaS,All industries,https://sectigo.com/post-quantum-cryptography,,"Major CA preparing for PQC certificate transition. Certificate lifecycle management platform with PQC readiness planning.",Trusted Vendor,Partially Verified,2026-02-16
Entrust PKI,CSC-004,Public Key Infrastructure (PKI) Software,"Yes (Hybrid PQC via nShield)","PKI platform with PQC capabilities via nShield HSM integration. Supports hybrid certificate operations combining classical and post-quantum algorithms.",Commercial,Commercial,Current,2025,Yes (FIPS 140-2 L3 via nShield),Critical,Cloud On-Premise,"Finance, Government, Healthcare",https://www.entrust.com/digital-security/certificate-solutions,,"Enterprise PKI with PQC support via nShield HSM integration. Hybrid certificate operations for gradual PQC transition.",Trusted Vendor,Partially Verified,2026-02-16
Microsoft AD CS,CSC-004,Public Key Infrastructure (PKI) Software,Planned,"Windows Server 2025 includes ML-KEM and ML-DSA in CNG but AD CS certificate templates do not yet natively support PQC algorithm OIDs for certificate issuance.",Commercial,Commercial,Windows Server 2025,2025-11,Yes (Windows FIPS mode),High,Windows Server,"Enterprise, Government",https://learn.microsoft.com/en-us/windows-server/identity/ad-cs/,,"Windows PKI platform. CNG has PQC algorithms but AD CS templates do not yet support PQC certificate issuance natively.",Trusted Vendor,Partially Verified,2026-02-16
smallstep Certificate Authority,CSC-004,Public Key Infrastructure (PKI) Software,Limited,"Modern zero-trust CA built in Go. Go 1.24+ includes crypto/mlkem with ML-KEM support. However step-ca does not yet expose PQC certificate issuance APIs. PQC-aware TLS for ACME and mTLS connections possible via Go runtime.",Open Source,Apache-2.0,0.28.x,2025,No,High,"Linux macOS Windows Docker Kubernetes",All industries,https://smallstep.com/docs/step-ca/,https://github.com/smallstep/certificates,"Modern CA with ACME support. PQC certificate issuance not yet available but Go runtime provides transport-layer quantum safety.",Open Source Community,Partially Verified,2026-02-16
PQClean,CSC-016,Post-Quantum Cryptography Libraries,"Yes (ML-KEM ML-DSA SLH-DSA HQC Falcon)","Clean portable C implementations of all NIST PQC algorithms. Focused on correctness readability and ease of integration. Each implementation is standalone with no external dependencies. Used as reference by pqcrypto Rust crate.",Open Source,Public Domain/CC0,Current,2025,No,Critical,Cross-platform (C99),All industries,https://github.com/PQClean/PQClean,https://github.com/PQClean/PQClean,"Clean standalone C implementations of PQC algorithms. Reference quality code used by multiple language binding projects.",Open Source Community,Verified,2026-02-16
CRYSTALS Reference Implementations,CSC-016,Post-Quantum Cryptography Libraries,"Yes (ML-KEM-512/768/1024 ML-DSA-44/65/87)","Official NIST reference implementations of ML-KEM (FIPS 203) and ML-DSA (FIPS 204). Canonical implementation used for validation and testing.",Open Source,Public Domain,FIPS 203/204 Final,2024-08,No (Reference Only),Critical,Cross-platform (C),All industries,https://pq-crystals.org/,https://github.com/pq-crystals,"NIST reference implementations for ML-KEM and ML-DSA. Canonical source for algorithm correctness validation.",Government/Standards,Verified,2026-02-16
IBM Quantum Safe Toolkit,CSC-016,Post-Quantum Cryptography Libraries,"Yes (ML-KEM ML-DSA SLH-DSA Hybrid)","IBM's quantum-safe cryptography toolkit with ML-KEM ML-DSA and SLH-DSA. IBM z16 provides on-chip quantum-safe acceleration. Quantum Safe Explorer tool for discovering and remediating quantum-vulnerable cryptography.",Commercial,Commercial/Apache-2.0,Current,2025,Yes (z16 FIPS 140-2 L4),Critical,IBM Z Linux Cloud,Enterprise Government Finance,https://www.ibm.com/quantum/quantum-safe,,"Enterprise PQC toolkit with mainframe hardware acceleration. Includes discovery and migration tools.",Trusted Vendor,Partially Verified,2026-02-16
jose4j,CSC-015,API Security and JWT Libraries,No,"Java implementation of JWS JWE JWK and JWT standards. No PQC algorithm support. Supports RSA ECDSA HMAC AES with standard JOSE algorithms. PQC blocked by IETF draft-ietf-jose-pqc-algorithms standardization.",Open Source,Apache-2.0,0.9.6,2025-01,No,High,Java 8+,All industries,https://bitbucket.org/b_c/jose4j/wiki/Home,https://bitbucket.org/b_c/jose4j,"Java JOSE library. No PQC. Blocked by IETF PQC JOSE specification.",Open Source Community,Verified,2026-02-16
Nimbus JOSE+JWT,CSC-015,API Security and JWT Libraries,No,"Feature-rich Java JOSE library. No PQC algorithm support. Comprehensive implementation of RFC 7515-7519 with RSA ECDSA EdDSA and AES. PQC dependent on IETF draft-ietf-jose-pqc-algorithms finalization.",Open Source,Apache-2.0,10.x,2025,No,High,Java 8+,All industries,https://connect2id.com/products/nimbus-jose-jwt,,Java JOSE/JWT library. No PQC. Awaiting IETF PQC JOSE specification.,Open Source Community,Verified,2026-02-16
jsonwebtoken (auth0),CSC-015,API Security and JWT Libraries,No,"Most popular Node.js JWT library. No PQC algorithm support. Uses RSA ECDSA HMAC for token signing. PQC integration blocked by IETF PQC JOSE specification and Node.js crypto API PQC support.",Open Source,MIT,9.0.2,2024,No,High,Node.js,All industries,https://github.com/auth0/node-jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,"Node.js JWT library. No PQC. Dependent on Node.js crypto API and IETF PQC JOSE specification.",Open Source Community,Verified,2026-02-16
go-jose v4,CSC-015,API Security and JWT Libraries,No,"Go implementation of JOSE standards. No PQC support despite Go 1.24+ having native crypto/mlkem in stdlib.",Open Source,Apache-2.0,4.1.3,2025-10-03,No,High,Go,All industries,https://github.com/go-jose/go-jose,https://github.com/go-jose/go-jose,"Go JOSE library. No PQC support despite Go stdlib having native ML-KEM.",Open Source Community,Verified,2026-02-16
Spring Security OAuth2,CSC-015,API Security and JWT Libraries,Planned,"No current PQC support. Open GitHub issue #18103 requests Java 25 PQC support. Could leverage Bouncy Castle PQC provider once IETF standardizes PQC identifiers for JOSE.",Open Source,Apache-2.0,6.4.4,2026-02,No,High,Java 17+ Spring Boot,All industries,https://spring.io/projects/spring-security,https://github.com/spring-projects/spring-security/issues/18103,"Spring Security OAuth2/JWT framework. Community-requested PQC support pending.",Open Source Foundation,Verified,2026-02-16
UEFI Forum Secure Boot,CSC-026,Secure Boot and Firmware Security,Planned,"No PQC algorithm support in current UEFI Secure Boot specification (UEFI 2.10). Signature database supports RSA-2048 SHA-256 only. Future revisions expected to add ML-DSA/SLH-DSA for firmware signature verification.",Industry Standard,Industry Standard,UEFI 2.10,2024-08,No,High,x86_64 ARM64 RISC-V,All industries,https://uefi.org/specifications,https://uefi.org/specifications,"Industry standard firmware interface. PQC for Secure Boot awaiting specification update.",Industry Standard,Verified,2026-02-16
coreboot,CSC-026,Secure Boot and Firmware Security,No,"No PQC algorithm support. Open-source firmware uses vboot (Google Verified Boot) with RSA and SHA-256. Zero GitHub issues for post-quantum algorithms.",Open Source,GPLv2,24.12,2025-03-27,No,High,x86 ARM,All industries,https://www.coreboot.org/,https://github.com/coreboot/coreboot,"Open-source firmware replacing proprietary BIOS/UEFI. No PQC support for firmware verification.",Open Source Foundation,Verified,2026-02-16
U-Boot,CSC-026,Secure Boot and Firmware Security,No,"No PQC algorithm support. Universal Boot Loader supports FIT image verification using RSA-2048/4096 and SHA-256/512. PQC signature verification not on roadmap.",Open Source,GPLv2+,2026.01,2026-01,No,High,ARM MIPS RISC-V x86 PowerPC,All industries,https://u-boot.readthedocs.io/,https://github.com/u-boot/u-boot,"Universal bootloader for embedded systems. Verified boot uses RSA/SHA only. No PQC support.",Open Source Foundation,Verified,2026-02-16
Linux IMA/EVM,CSC-026,Secure Boot and Firmware Security,No,"No PQC algorithm support for file integrity verification. IMA and EVM use RSA/ECDSA signatures and SHA-256/512. Kernel crypto API does not include ML-DSA or SLH-DSA.",Open Source,GPLv2,6.13,2025-01,No,High,Linux,All industries,https://sourceforge.net/p/linux-ima/wiki/Home/,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/security/integrity,"Linux kernel integrity subsystem. IMA/EVM file verification limited to RSA/ECDSA.",Open Source Foundation,Verified,2026-02-16
Windows Secure Boot,CSC-026,Secure Boot and Firmware Security,Planned,"No PQC firmware signature verification in current Secure Boot. CNG supports ML-KEM/ML-DSA for applications but Secure Boot chain still uses RSA-2048.",Commercial,Commercial,Windows 11 24H2,2024-10,Yes (Classical),High,x86_64 ARM64,All industries,https://learn.microsoft.com/en-us/windows/security/operating-system-security/system-security/secure-boot-and-device-encryption/secure-boot,,"Microsoft Secure Boot. Classical RSA/SHA signatures only. PQC firmware signing expected in future releases.",Trusted Vendor,Verified,2026-02-16
ARM Trusted Firmware (TF-A),CSC-026,Secure Boot and Firmware Security,No,"No PQC algorithm support. Secure Boot for ARM uses RSA-2048/3072 ECDSA-P256. Zero GitHub issues for post-quantum algorithms.",Open Source,BSD-3-Clause,2.14.0,2025-11,No,High,ARM Cortex-A AArch64,All industries,https://www.trustedfirmware.org/,https://github.com/ARM-software/arm-trusted-firmware,"Reference implementation of ARM Secure Boot. Classical signatures only.",Open Source Foundation,Verified,2026-02-16
VeraCrypt,CSC-006,Disk and File Encryption Software,No,"No PQC algorithm support. Uses AES-256 (quantum-resistant) for symmetric encryption. Community feature requests for PQC (GitHub issues #498 #1406) closed without implementation. Key derivation lacks PQC key encapsulation.",Open Source,Apache-2.0,1.26.24,2025-05-31,No,High,Windows Linux macOS FreeBSD,All industries,https://veracrypt.fr/,https://github.com/veracrypt/VeraCrypt,"Open-source disk encryption. AES-256 is quantum-resistant but lacks PQC key encapsulation.",Open Source Community,Verified,2026-02-16
BitLocker (Windows),CSC-006,Disk and File Encryption Software,No,"No PQC key wrapping support. Uses AES-128/256 with XTS mode. Windows CNG supports ML-KEM/ML-DSA but BitLocker key protection chain not updated to use PQC. AES-256-XTS is quantum-resistant.",Proprietary,Commercial,Windows 11 24H2,2024-10,Yes (Classical FIPS 140-2),High,Windows,All industries,https://learn.microsoft.com/en-us/windows/security/operating-system-security/data-protection/bitlocker/,,"Microsoft full disk encryption. AES-XTS is quantum-safe but key protection chain uses classical RSA via TPM.",Trusted Vendor,Verified,2026-02-16
LUKS/dm-crypt,CSC-006,Disk and File Encryption Software,No,"No PQC algorithm support. LUKS2 uses AES-XTS-256 with Argon2id for key derivation. No PQC key encapsulation for master key wrapping. AES-256-XTS is quantum-resistant.",Open Source,GPLv2+,2.7.5,2025-10,No,High,Linux,All industries,https://gitlab.com/cryptsetup/cryptsetup,https://gitlab.com/cryptsetup/cryptsetup,"Linux disk encryption standard. AES-256-XTS is quantum-safe but key management lacks PQC.",Open Source Foundation,Verified,2026-02-16
FileVault (macOS),CSC-006,Disk and File Encryption Software,No,"No PQC key wrapping support. AES-XTS-256 for full-volume encryption. Apple CryptoKit has ML-KEM/ML-DSA but FileVault key protection chain not updated. AES-256-XTS is quantum-resistant.",Proprietary,Commercial,macOS 26.3,2026-02-11,Yes (Platform FIPS),High,macOS (Apple Silicon Intel),All industries,https://support.apple.com/guide/mac-help/protect-data-on-your-mac-with-filevault-mh11785/mac,,"Apple full-disk encryption. AES-256-XTS is quantum-safe but key wrapping has not adopted CryptoKit PQC APIs.",Trusted Vendor,Verified,2026-02-16
MongoDB Queryable Encryption,CSC-007,Database Encryption Software,No,"No PQC algorithm support. Client-Side Field Level Encryption uses AES-256. Data Encryption Keys wrapped via AWS KMS Azure Key Vault or GCP KMS using RSA-OAEP. AES-256 is quantum-resistant but key management relies on classical PKI.",Commercial,SSPL/Commercial,8.0,2024-10,No,High,Linux Windows macOS,"Finance, Healthcare, Retail, Government",https://www.mongodb.com/docs/manual/core/queryable-encryption/,https://github.com/mongodb/libmongocrypt,"MongoDB client-side encryption. AES-256 is quantum-safe but key wrapping uses classical algorithms.",Trusted Vendor,Verified,2026-02-16
Oracle TDE,CSC-007,Database Encryption Software,No,"No PQC algorithm support. Transparent Data Encryption uses AES-128/192/256. Master key stored in Oracle Key Vault using PKCS#12 with RSA key transport. AES-256 is quantum-resistant.",Commercial,Commercial,23ai,2024,Yes (FIPS 140-2 via OKV),High,"Linux Windows Solaris AIX","Finance, Healthcare, Government, Enterprise",https://www.oracle.com/database/technologies/security/tde.html,,"Oracle database transparent encryption. Classical RSA key management. No PQC key wrapping.",Trusted Vendor,Needs Verification,2026-02-16
SQL Server TDE/Always Encrypted,CSC-007,Database Encryption Software,No,"No PQC algorithm support. TDE uses AES-256. Always Encrypted uses AES-256-CBC with HMAC. Column Encryption Keys wrapped by RSA-OAEP. Microsoft CNG supports ML-KEM but SQL Server has not integrated PQC.",Commercial,Commercial,SQL Server 2022,2022-11,Yes (FIPS 140-2),High,Windows Linux (Docker),"Finance, Healthcare, Government, Enterprise",https://learn.microsoft.com/en-us/sql/relational-databases/security/encryption/transparent-data-encryption,,"Microsoft SQL Server encryption. Classical RSA key wrapping. CNG has PQC but SQL Server has not adopted it.",Trusted Vendor,Verified,2026-02-16
PostgreSQL pgcrypto,CSC-007,Database Encryption Software,No,"No PQC algorithm support. pgcrypto provides AES and PGP encryption using OpenSSL backend. OpenSSL 3.5+ has ML-KEM/ML-DSA but pgcrypto does not expose PQC functions.",Open Source,PostgreSQL License,17.2,2025-11,No,High,Linux Windows macOS,All industries,https://www.postgresql.org/docs/current/pgcrypto.html,,"PostgreSQL encryption extension. Uses OpenSSL backend but does not expose PQC algorithms.",Open Source Foundation,Verified,2026-02-16
MySQL Enterprise Encryption,CSC-007,Database Encryption Software,No,"No PQC algorithm support. MySQL provides RSA DH DSA and ECDH functions via OpenSSL. InnoDB tablespace encryption uses AES-256. No ML-KEM ML-DSA functions exposed.",Commercial,Commercial/GPLv2,9.2,2025-01,No,High,Linux Windows macOS,"Finance, Healthcare, Enterprise",https://dev.mysql.com/doc/refman/en/enterprise-encryption.html,,"MySQL enterprise encryption functions. Classical RSA/DSA/ECDH only.",Trusted Vendor,Verified,2026-02-16
CockroachDB Encryption,CSC-007,Database Encryption Software,No,"No PQC algorithm support. Encryption at Rest uses AES-128/192/256-CTR. Go 1.26 has native ML-KEM for TLS but CockroachDB has not integrated PQC for encryption at rest.",Commercial,BSL/CockroachDB License,25.2,2025-11,No,High,"Linux Windows macOS","Finance, Enterprise, SaaS",https://www.cockroachlabs.com/docs/stable/encryption.html,https://github.com/cockroachdb/cockroach,"CockroachDB encryption at rest. AES-256 is quantum-safe. Go stdlib ML-KEM not integrated.",Trusted Vendor,Verified,2026-02-16
Proton Mail,CSC-008,Email Encryption Software,"Yes (ML-KEM Hybrid)","First major email provider to deploy post-quantum encryption. Uses hybrid Curve25519 + ML-KEM key encapsulation for end-to-end encrypted email. Deployed to all users September 2023.",Open Source,Open Source (Server proprietary),4.x,2023-09,No,High,Web iOS Android,"Consumer, Enterprise, Government",https://proton.me/blog/post-quantum-encryption,https://github.com/ProtonMail,"First email provider with production PQC encryption protecting emails against quantum threats.",Trusted Vendor,Verified,2026-02-16
GnuPG,CSC-008,Email Encryption Software,"Yes (ML-KEM-768+X25519 ML-DSA-65+Ed25519)","Implements IETF PQC-in-OpenPGP draft. Supports composite PQC keys combining ML-KEM-768 with X25519 for encryption and ML-DSA-65 with Ed25519 for signing.",Open Source,GPLv3,2.5.x,2024-09,No,High,Linux macOS Windows,All industries,https://gnupg.org/,https://github.com/gpg/gnupg,"Reference OpenPGP implementation with PQC composite key support for quantum-resistant email and file encryption.",Open Source Foundation,Verified,2026-02-16
Thunderbird + OpenPGP,CSC-008,Email Encryption Software,No,"Uses RNP library for OpenPGP. RNP does not implement PQC algorithms. Dependent on IETF PQC-in-OpenPGP standard finalization.",Open Source,MPL-2.0,128.x,2025,No,High,Linux macOS Windows,All industries,https://www.thunderbird.net/,https://github.com/nickolay/rnp,"Open source email client with OpenPGP. PQC dependent on RNP library.",Open Source Foundation,Pending Verification,2026-02-16
Microsoft Outlook S/MIME,CSC-008,Email Encryption Software,Planned,"Windows CNG has ML-KEM/ML-DSA but Outlook S/MIME has not shipped PQC certificate support. Dependent on CA ecosystem issuing PQC X.509 certificates.",Commercial,Commercial,Microsoft 365,2025,Yes (via CNG),High,Windows macOS Web,Enterprise Government,https://www.microsoft.com/en-us/microsoft-365,,"Enterprise email with S/MIME encryption. PQC primitives available in OS but not in Outlook S/MIME workflow.",Trusted Vendor,Pending Verification,2026-02-16
Adobe Acrobat Sign,CSC-009,Digital Signature Software,No,"Uses RSA and ECDSA for PDF digital signatures (PAdES). No PQC signature support announced. Dependent on ETSI PAdES specification updates for PQC.",Commercial,Commercial,Current,2025,No,High,Web iOS Android Desktop,"Finance, Legal, Government, Healthcare",https://www.adobe.com/sign.html,,"Leading eSignature platform. PQC dependent on ETSI PAdES and CA ecosystem readiness.",Trusted Vendor,Pending Verification,2026-02-16
DocuSign,CSC-009,Digital Signature Software,No,"Uses RSA-2048/4096 and SHA-256. No public PQC announcements. PQC transition depends on PKI ecosystem supporting PQC signature algorithms.",Commercial,Commercial,Current,2025,No,High,Web iOS Android,"Finance, Legal, Real Estate, Healthcare",https://www.docusign.com/,,"Market-leading eSignature platform. PQC dependent on PKI ecosystem updates.",Trusted Vendor,Pending Verification,2026-02-16
DigiCert SigningHub,CSC-009,Digital Signature Software,Planned,"DigiCert is actively involved in PQC with hybrid TLS certificates. SigningHub positioned for PQC through DigiCert infrastructure but has not yet shipped PQC document signatures.",Commercial,Commercial,Current,2025,Yes (via DigiCert PKI),High,Cloud Web,"Finance, Legal, Government, Healthcare",https://www.digicert.com/signing/signhub,,"Cloud document signing with PQC roadmap through DigiCert PQC certificate infrastructure.",Trusted Vendor,Pending Verification,2026-02-16
Entrust Signing Automation,CSC-009,Digital Signature Software,Planned,"PQC capabilities in nShield HSMs. ML-DSA and SLH-DSA integration expected through HSM backend upgrades. No confirmed production PQC signing deployment.",Commercial,Commercial,Current,2025,Yes (via nShield HSM),High,Cloud Linux Windows,"Finance, Legal, Government",https://www.entrust.com/digital-security/digital-signing,,"Enterprise signing automation. PQC capabilities available through Entrust nShield HSM backend.",Trusted Vendor,Pending Verification,2026-02-16
GlobalSign Digital Signing Service,CSC-009,Digital Signature Software,No,"Cloud-based digital signing using RSA and ECDSA. No public PQC announcements. Active CA/Browser Forum member discussing PQC certificate profiles.",Commercial,Commercial,Current,2025,No,High,Cloud API,"Finance, Legal, Government",https://www.globalsign.com/en/digital-signing-service,,"CA-backed digital signing service. PQC dependent on CA/Browser Forum PQC certificate standards.",Trusted Vendor,Pending Verification,2026-02-16
sigstore/cosign,CSC-017,Code Signing and Software Integrity,Planned,"Uses ECDSA P-256 and Ed25519 for container image signing. PQC on roadmap but not yet implemented. Fulcio CA and Rekor transparency log would need PQC updates.",Open Source,Apache-2.0,2.4.x,2025,No,High,Linux macOS Windows,All industries,https://www.sigstore.dev/,https://github.com/sigstore/cosign,"Keyless code signing for containers. PQC integration planned for Fulcio CA and Rekor transparency log.",Open Source Foundation,Pending Verification,2026-02-16
Microsoft SignTool,CSC-017,Code Signing and Software Integrity,Planned,"Windows CNG has ML-KEM/ML-DSA but Authenticode code signing not yet updated for PQC algorithms. Dual-signing approach likely for backward compatibility.",Commercial,Commercial,Windows SDK,2025,Yes (via CNG),High,Windows,"Enterprise, Software Development",https://learn.microsoft.com/en-us/windows/win32/seccrypto/signtool,,"Windows code signing tool. PQC primitives in CNG but Authenticode format not yet updated.",Trusted Vendor,Pending Verification,2026-02-16
Apple codesign,CSC-017,Code Signing and Software Integrity,No,"Apple has PQ3 for iMessage and ML-KEM/ML-DSA in CryptoKit but code signing infrastructure not moved to PQC. Mach-O code signature format needs updates.",Proprietary,Commercial,Xcode 16.x,2025,No,High,macOS iOS,"Software Development, Enterprise",https://developer.apple.com/documentation/security/code_signing_services,,"Apple platform code signing. PQC available in CryptoKit but code signing infrastructure not updated.",Trusted Vendor,Pending Verification,2026-02-16
Notary Project,CSC-017,Code Signing and Software Integrity,No,"CNCF container image signing using X.509 certificates. RSA and ECDSA only. Plugin architecture could enable future PQC through third-party providers.",Open Source,Apache-2.0,1.2.x,2025,No,High,Linux macOS Windows,All industries,https://notaryproject.dev/,https://github.com/notaryproject/notation,"CNCF container image signing. Plugin architecture may enable future PQC integration.",Open Source Foundation,Pending Verification,2026-02-16
GPG Code Signing,CSC-017,Code Signing and Software Integrity,"Yes (ML-DSA-65+Ed25519 Composite)","GnuPG 2.5.x supports PQC composite signatures per IETF PQC-in-OpenPGP draft. ML-DSA-65 combined with Ed25519 for quantum-resistant code and package signing.",Open Source,GPLv3,2.5.x,2024-09,No,High,Linux macOS Windows,All industries,https://gnupg.org/,https://github.com/gpg/gnupg,"OpenPGP code signing with PQC composite signatures. Used for software package and Git commit signing.",Open Source Foundation,Verified,2026-02-16
DigiCert Software Trust Manager,CSC-017,Code Signing and Software Integrity,Planned,"Enterprise code signing with secure key storage and CI/CD integration. Positioned for PQC through DigiCert PQC certificate infrastructure. PQC code signing certificates not yet generally available.",Commercial,Commercial,Current,2025,Yes (DigiCert PKI),High,Cloud API CI/CD,"Enterprise, Software Development",https://www.digicert.com/software-trust-manager,,"Enterprise code signing platform. PQC roadmap through DigiCert PQC certificate program.",Trusted Vendor,Pending Verification,2026-02-16
AWS KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,"Limited (Hybrid PQC TLS)","KMS API endpoints support hybrid PQC TLS key exchange (ECDH + ML-KEM) for data in transit protection. Powered by AWS-LC with FIPS 140-3 validated ML-KEM. Native PQC key types on roadmap.",Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-2 L2),High,AWS Cloud,All industries,https://aws.amazon.com/kms/,,"Managed key management with hybrid PQC TLS for API calls. Native PQC key types on roadmap.",Trusted Vendor,Verified,2026-02-16
Google Cloud KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,"Yes (ML-KEM GA / ML-DSA Preview)","Cloud encryption gateway with PQC key types. ML-KEM-768/1024 and X-Wing (GA) for key encapsulation. ML-DSA-65 and SLH-DSA (Preview) for signing. Powered by BoringCrypto and Tink. Cloud HSM uses Marvell LiquidSecurity.",Commercial,Commercial (Google),Current,2025-10,Yes (FIPS 140-2 L1 software / L3 Cloud HSM),High,Google Cloud,All industries,https://cloud.google.com/kms,,"Cloud encryption gateway with industry-leading PQC key type support for encapsulation and signing.",Trusted Vendor,Verified,2026-02-16
Azure Key Vault,CSC-028,Cloud Encryption Gateways,Planned,"Microsoft SymCrypt has ML-KEM/ML-DSA but Azure Key Vault has not added PQC key types for customer operations. Managed HSM uses Marvell LiquidSecurity.",Commercial,Commercial (Microsoft),Current,2025,Yes (FIPS 140-2 L2/L3),High,Azure Cloud,All industries,https://azure.microsoft.com/en-us/products/key-vault,,"Cloud key management with HSM backing. PQC in SymCrypt but not exposed as Key Vault key types.",Trusted Vendor,Pending Verification,2026-02-16
Fortanix Data Security Manager,CSC-028,Cloud Encryption Gateways,Planned,"Multicloud key management with Confidential Computing (Intel SGX). PQC algorithm support on product roadmap but not confirmed as shipped.",Commercial,Commercial,Current,2025,Yes (FIPS 140-2 L2),High,Multicloud On-premises,"Finance, Healthcare, Government",https://www.fortanix.com/,,"Multicloud encryption gateway with Confidential Computing. PQC on roadmap.",Trusted Vendor,Pending Verification,2026-02-16
Thales CipherTrust Manager,CSC-028,Cloud Encryption Gateways,"Yes (ML-KEM ML-DSA via Luna HSM)","Centralized key management and encryption gateway. Integrates with Thales Luna HSMs (firmware 7.9+) with ML-KEM and ML-DSA. Transparent encryption and tokenization.",Commercial,Commercial,7.x,2025,Yes (FIPS 140-2 L2),High,Multicloud On-premises,"Finance, Healthcare, Government, Defense",https://cpl.thalesgroup.com/encryption/ciphertrust-manager,,"Enterprise encryption gateway with PQC via Luna HSM. Centralized multicloud key management.",Trusted Vendor,Verified,2026-02-16
Futurex Cloud,CSC-028,Cloud Encryption Gateways,"Yes (ML-KEM ML-DSA PCI Validated)","Cloud-hosted encryption backed by CryptoHub HSMs with PCI HSM validated PQC. Supports ML-DSA and ML-KEM. KMES Series 3 VirtuCrypt cloud HSM.",Commercial,Commercial,Current,2025,Yes (PCI HSM),High,Cloud,Finance Enterprise,https://www.futurex.com/,,"Cloud encryption gateway backed by PCI HSM validated PQC hardware.",Trusted Vendor,Verified,2026-02-16
