Algorithm Family,Algorithm,NIST Security Level,AES Equivalent,Public Key (bytes),Private Key (bytes),Signature/Ciphertext (bytes),Shared Secret (bytes),KeyGen (cycles relative),Sign/Encaps (cycles relative),Verify/Decaps (cycles relative),Stack RAM (bytes),Optimization Target,FIPS Standard,Use Case Notes,trusted_source_id
KEM,ML-KEM-512,1,AES-128,800,1632,768,32,1x,1x,1x,~4000,Balanced,FIPS 203,Good for most applications; ~80x faster keygen than RSA-2048,
KEM,ML-KEM-768,3,AES-192,1184,2400,1088,32,1.5x,1.5x,1.5x,~6000,Balanced,FIPS 203,Recommended general use; balances security and performance,
KEM,ML-KEM-1024,5,AES-256,1568,3168,1568,32,2x,2x,2x,~8000,Balanced,FIPS 203,Highest security; CNSA 2.0 requirement for government/defense,
KEM,FrodoKEM-640,1,AES-128,9616,19888,9752,16,10x,20x,20x,~60000,Conservative,N/A,"Conservative LWE-based; larger key & ciphertext, slower than ML-KEM; not selected for NIST standardization",ietf
KEM,FrodoKEM-976,3,AES-192,15632,31296,15792,24,15x,30x,30x,~120000,Conservative,N/A,Higher security conservative option; significant size/performance cost; not selected for NIST standardization,ietf
KEM,FrodoKEM-1344,5,AES-256,21520,43088,21696,32,20x,40x,40x,~180000,Conservative,N/A,Ultra-conservative LWE (Level 5); very large keys and slowest performance; not selected for NIST standardization,ietf
KEM,HQC-128,1,AES-128,2249,2305,4433,64,2x,3x,3x,~10000,Balanced,Draft (Selected 2025),Code-based KEM; NIST-selected 2025 as backup to ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,
KEM,HQC-192,3,AES-192,4522,4586,8978,64,3x,6x,6x,~20000,Balanced,Draft (Selected 2025),Higher security code-based; NIST-selected 2025. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,
KEM,HQC-256,5,AES-256,7245,7317,14421,64,4x,9x,9x,~30000,Balanced,Draft (Selected 2025),Highest security code-based; NIST-selected 2025; cryptographic diversity from lattice-based ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,
KEM,Classic-McEliece-348864,1,AES-128,261120,6492,96,32,80x,4x,4x,~8000,Balanced,N/A,Level 1 code-based (McEliece); ~256KB public key; fast decapsulation; not selected for NIST FIPS (impractical key sizes),nist-csrc
KEM,Classic-McEliece-460896,3,AES-192,524160,13608,156,32,100x,5x,5x,~10000,Balanced,N/A,Classic code-based (McEliece); ~0.5MB public key; fast decapsulation; not selected for NIST FIPS (impractical key sizes),nist-csrc
KEM,Classic-McEliece-8192128,5,AES-256,1357824,14120,208,32,150x,10x,10x,~15000,Balanced,N/A,Highest security McEliece; ~1.3MB public key; extremely secure long-term; not selected for NIST FIPS (impractical key sizes),nist-csrc
Signature,ML-DSA-44,2,AES-128,1312,2560,2420,N/A,1x,1x,1x,~14000,Balanced,FIPS 204,General purpose; faster than RSA signing; larger signatures,
Signature,ML-DSA-65,3,AES-192,1952,4032,3309,N/A,1.4x,1.3x,1.3x,~14000,Balanced,FIPS 204,Recommended general use; most balanced security/performance,
Signature,ML-DSA-87,5,AES-256,2592,4896,4627,N/A,1.8x,1.7x,1.7x,~14000,Balanced,FIPS 204,Highest security; suitable for long-term archival,
Signature,FN-DSA-512,1,AES-128,897,1281,666,N/A,5x,3x,0.5x,~20000,Small Signature,FIPS 206 (Draft),Alternate lattice signature (Falcon-512); tiny signature (~0.65KB) and fast verification (requires floating-point arithmetic),
Signature,FN-DSA-1024,5,AES-256,1793,2305,1280,N/A,10x,6x,1x,~30000,Small Signature,FIPS 206 (Draft),High-security Falcon variant; small signature (~1.25KB) and fast verification,
Signature,SLH-DSA-SHA2-128s,1,AES-128,32,64,7856,N/A,50x,500x,50x,~5000,Small Keys,FIPS 205,Conservative hash-based; slow signing but small keys,
Signature,SLH-DSA-SHAKE-128s,1,AES-128,32,64,7856,N/A,50x,500x,50x,~5000,Small Keys,FIPS 205,SHAKE-based hash-based signature; NIST recommends SHAKE variants for long-term security; conservative choice with tiny keys (32B pub),
Signature,SLH-DSA-SHA2-128f,1,AES-128,32,64,17088,N/A,10x,100x,10x,~5000,Fast Signing,FIPS 205,Fast signing variant (~5x faster than 128s); trades larger signatures (~17KB) for signing speed; good for high-throughput scenarios,
Signature,SLH-DSA-SHAKE-128f,1,AES-128,32,64,17088,N/A,10x,100x,10x,~5000,Fast Signing,FIPS 205,SHAKE-based fast signing at Level 1; ~17KB signatures but significantly faster signing than 128s; preferred over SHA2 for long-term use,
Signature,SLH-DSA-SHA2-192s,3,AES-192,48,96,16224,N/A,75x,750x,75x,~5000,Small Keys,FIPS 205,Level 3 hash-based with small signatures (~16KB); very slow signing but minimal key sizes; suited for firmware signing and archival,
Signature,SLH-DSA-SHAKE-192s,3,AES-192,48,96,16224,N/A,75x,750x,75x,~5000,Small Keys,FIPS 205,SHAKE-based Level 3 small signature variant; NIST-preferred hash function for longevity; ~16KB signatures with tiny 48B public key,
Signature,SLH-DSA-SHA2-192f,3,AES-192,48,96,35664,N/A,15x,150x,15x,~5000,Fast Signing,FIPS 205,Level 3 fast signing variant; ~36KB signatures but ~5x faster signing than 192s; useful when signing throughput matters more than bandwidth,
Signature,SLH-DSA-SHAKE-192f,3,AES-192,48,96,35664,N/A,15x,150x,15x,~5000,Fast Signing,FIPS 205,SHAKE-based Level 3 fast variant; ~36KB signatures with fast signing; NIST-preferred hash for long-term quantum resilience,
Signature,SLH-DSA-SHA2-256s,5,AES-256,64,128,29792,N/A,100x,1000x,100x,~5000,Small Keys,FIPS 205,Highest security hash-based (Level 5); ~30KB signatures; extremely slow signing but maximum quantum resilience for archival use,
Signature,SLH-DSA-SHAKE-256s,5,AES-256,64,128,29792,N/A,100x,1000x,100x,~5000,Small Keys,FIPS 205,SHAKE-based Level 5 with smallest signatures at this security level (~30KB); NIST-preferred for maximum long-term quantum resistance,
Signature,SLH-DSA-SHA2-256f,5,AES-256,64,128,49856,N/A,20x,200x,20x,~5000,Fast Signing,FIPS 205,256-bit fast signing; ~50KB signatures,
Signature,SLH-DSA-SHAKE-256f,5,AES-256,64,128,49856,N/A,20x,200x,20x,~5000,Fast Signing,FIPS 205,SHAKE-based Level 5 fast variant; ~50KB signatures but ~5x faster signing than 256s; NIST-preferred hash for top-tier security,
Signature,LMS-SHA256 (H20/W8),N/A,AES-128 to AES-256,60,64,1776,N/A,1x,50x,0.5x,~2000,Stateful,NIST SP 800-208,Security levels 1–5 depending on parameters. Stateful hash-based (HSS/LMS); CNSA 2.0 required for firmware signing. W8 Winternitz parameter gives smallest signatures. State management critical — private key state must never be reused.,
Signature,XMSS-SHA2_20,N/A,AES-128 to AES-256,64,2573,2820,N/A,1x,80x,0.5x,~3000,Stateful,NIST SP 800-208,Security levels 1–5 depending on parameters. Stateful hash-based (eXtended Merkle Signature Scheme). SK size is implementation-dependent (liboqs reference). Same state management constraints as LMS. Limited number of signatures per key.,
Classical KEM,RSA-2048,N/A,~112-bit,270,1190,256,256,Baseline,Baseline Sign,Baseline Verify,~2000,N/A,SP 800-56B,Deprecated 2030; vulnerable to Shor's algorithm,
Classical KEM,RSA-3072,N/A,~128-bit,398,1770,384,384,2x,2.5x Sign,1.5x Verify,~3000,N/A,SP 800-56B,Extended deprecation; still vulnerable to quantum,
Classical KEM,RSA-4096,N/A,~140-bit,526,2350,512,512,4x,7x Sign,3x Verify,~4000,N/A,SP 800-56B,Extended deprecation; highest classical RSA,
Classical KEM,ECDH P-256,N/A,~128-bit,64,32,N/A,32,0.1x,0.2x,0.2x,~500,N/A,SP 800-56A,Compact keys; fast; vulnerable to quantum,
Classical KEM,ECDH P-384,N/A,~192-bit,96,48,N/A,48,0.15x,0.3x,0.3x,~700,N/A,SP 800-56A,192-bit equivalent; vulnerable to quantum,
Classical KEM,ECDH P-521,N/A,~256-bit,132,66,N/A,66,0.2x,0.4x,0.4x,~900,N/A,SP 800-56A,Highest NIST curve; vulnerable to quantum,
Classical KEM,X25519,N/A,~128-bit,32,32,N/A,32,0.05x,0.1x,0.1x,~400,N/A,RFC 7748,Very fast; compact; vulnerable to quantum,
Classical KEM,X448,N/A,~224-bit,56,56,N/A,56,0.08x,0.15x,0.15x,~600,N/A,RFC 7748,Higher security curve; vulnerable to quantum,
Classical Sig,ECDSA P-256,N/A,~128-bit,64,32,64,N/A,0.1x,0.3x Sign,0.4x Verify,~500,N/A,FIPS 186,Fast signing; compact; vulnerable to quantum,
Classical Sig,ECDSA P-384,N/A,~192-bit,96,48,96,N/A,0.15x,0.4x Sign,0.5x Verify,~700,N/A,FIPS 186,192-bit security; vulnerable to quantum,
Classical Sig,ECDSA P-521,N/A,~256-bit,132,66,132,N/A,0.2x,0.5x Sign,0.6x Verify,~900,N/A,FIPS 186,Highest NIST curve signature; vulnerable,
Classical Sig,Ed25519,N/A,~128-bit,32,64,64,N/A,0.02x,0.1x Sign,0.1x Verify,~300,N/A,RFC 8032,Very fast; deterministic; vulnerable to quantum,
Classical Sig,Ed448,N/A,~224-bit,57,114,114,N/A,0.04x,0.15x Sign,0.15x Verify,~500,N/A,RFC 8032,Higher security EdDSA; vulnerable to quantum,
Classical KEM,DH (Diffie-Hellman),N/A,~80-bit,256,256,N/A,256,~1x,N/A,N/A,~1000,N/A,RFC 7919,Legacy discrete-log key exchange; 2048-bit common; vulnerable to Shor's algorithm; NIST deprecated,
Classical Sig,secp256k1,N/A,~128-bit,64,32,64,N/A,0.1x,0.3x Sign,0.4x Verify,~500,N/A,SEC 2,Bitcoin/Ethereum signature curve; vulnerable to Shor's algorithm; widely used in blockchain,secg
Hybrid KEM,X25519MLKEM768,3,AES-192,,,,32,,,,,Balanced,N/A,Hybrid TLS 1.3 key exchange combining X25519 and ML-KEM-768; deployed by major browsers; RFC 8446 / IETF hybrid TLS; inherits security level 3 from ML-KEM-768,ietf
Hybrid KEM,SecP256r1MLKEM768,3,AES-192,,,,32,,,,,Balanced,N/A,Hybrid TLS 1.3 key exchange combining ECDH P-256 and ML-KEM-768; deployed in TLS 1.3 hybrid mode; security level 3,ietf
Hybrid KEM,SecP384r1MLKEM1024,5,AES-256,,,,32,,,,,High Security,N/A,Hybrid TLS 1.3 key exchange combining ECDH P-384 and ML-KEM-1024; highest security hybrid; CNSA 2.0 aligned; security level 5 from ML-KEM-1024,ietf
