Algorithm Family,Algorithm,Cryptographic Family,NIST Security Level,AES Equivalent,Public Key (bytes),Private Key (bytes),Signature/Ciphertext (bytes),Shared Secret (bytes),KeyGen (cycles relative),Sign/Encaps (cycles relative),Verify/Decaps (cycles relative),Stack RAM (bytes),Optimization Target,FIPS Standard,Use Case Notes,trusted_source_id,peer_reviewed,vetting_body,Region,Status,Status URL
KEM,ML-KEM-512,Lattice,1,AES-128,800,1632,768,32,1x,1x,1x,~4000,Balanced,FIPS 203,Good for most applications; ~80x faster keygen than RSA-2048,,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
KEM,ML-KEM-768,Lattice,3,AES-192,1184,2400,1088,32,1.5x,1.5x,1.5x,~6000,Balanced,FIPS 203,Recommended general use; balances security and performance,,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
KEM,ML-KEM-1024,Lattice,5,AES-256,1568,3168,1568,32,2x,2x,2x,~8000,Balanced,FIPS 203,Highest security; CNSA 2.0 requirement for government/defense,,yes,NIST,NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
KEM,FrodoKEM-640,Lattice,1,AES-128,9616,19888,9752,16,10x,20x,20x,~60000,Conservative,N/A,"Conservative LWE-based; larger key & ciphertext, slower than ML-KEM; not selected for NIST standardization",ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html
KEM,FrodoKEM-976,Lattice,3,AES-192,15632,31296,15792,24,15x,30x,30x,~120000,Conservative,N/A,Higher security conservative option; significant size/performance cost; not selected for NIST standardization,ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html
KEM,FrodoKEM-1344,Lattice,5,AES-256,21520,43088,21696,32,20x,40x,40x,~180000,Conservative,N/A,Ultra-conservative LWE (Level 5); very large keys and slowest performance; not selected for NIST standardization,ietf,yes,NIST,BSI/ANSSI,ISO 18033-2 Amd2,https://www.iso.org/standard/85646.html
KEM,HQC-128,Code-based,1,AES-128,2249,2305,4433,64,2x,3x,3x,~10000,Balanced,Draft (Selected 2025),Code-based KEM; NIST-selected 2025 as backup to ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,HQC-192,Code-based,3,AES-192,4522,4586,8978,64,3x,6x,6x,~20000,Balanced,Draft (Selected 2025),Higher security code-based; NIST-selected 2025. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,HQC-256,Code-based,5,AES-256,7245,7317,14421,64,4x,9x,9x,~30000,Balanced,Draft (Selected 2025),Highest security code-based; NIST-selected 2025; cryptographic diversity from lattice-based ML-KEM. Sizes from liboqs 0.12.0 (Aug 2025 spec); may change before final standard,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,Classic-McEliece-348864,Code-based,1,AES-128,261120,6492,96,32,80x,4x,4x,~8000,Balanced,N/A,Level 1 code-based (McEliece); ~256KB public key; fast decapsulation; not selected for NIST FIPS (impractical key sizes),nist-csrc,yes,NIST,BSI/ANSSI,BSI TR-02102-1,https://www.bsi.bund.de/dok/TR-02102-1-en
KEM,Classic-McEliece-460896,Code-based,3,AES-192,524160,13608,156,32,100x,5x,5x,~10000,Balanced,N/A,Classic code-based (McEliece); ~0.5MB public key; fast decapsulation; not selected for NIST FIPS (impractical key sizes),nist-csrc,yes,NIST,BSI/ANSSI,BSI TR-02102-1,https://www.bsi.bund.de/dok/TR-02102-1-en
KEM,Classic-McEliece-8192128,Code-based,5,AES-256,1357824,14120,208,32,150x,10x,10x,~15000,Balanced,N/A,Highest security McEliece; ~1.3MB public key; extremely secure long-term; not selected for NIST FIPS (impractical key sizes),nist-csrc,yes,NIST,BSI/ANSSI,BSI TR-02102-1,https://www.bsi.bund.de/dok/TR-02102-1-en
KEM,BIKE-1,Code-based,1,AES-128,1541,3749,1573,32,5x,8x,10x,~12000,Balanced,N/A,NIST Round 4 code-based KEM (QC-MDPC); compact keys; known timing side-channels in decoding require constant-time implementation,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,BIKE-3,Code-based,3,AES-192,3083,7499,3115,32,8x,15x,18x,~24000,Balanced,N/A,NIST Round 4 code-based KEM (QC-MDPC); Level 3 variant; compact keys relative to Classic McEliece; active standardization,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
KEM,BIKE-5,Code-based,5,AES-256,5122,12482,5154,32,12x,25x,30x,~40000,Balanced,N/A,NIST Round 4 code-based KEM (QC-MDPC); Level 5 variant; largest keys/ciphertexts in BIKE family; strong quantum security,nist-csrc,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
Signature,ML-DSA-44,Lattice,2,AES-128,1312,2560,2420,N/A,1x,1x,1x,~14000,Balanced,FIPS 204,General purpose; faster than RSA signing; larger signatures,,yes,NIST,NIST,FIPS 204,https://csrc.nist.gov/pubs/fips/204/final
Signature,ML-DSA-65,Lattice,3,AES-192,1952,4032,3309,N/A,1.4x,1.3x,1.3x,~14000,Balanced,FIPS 204,Recommended general use; most balanced security/performance,,yes,NIST,NIST,FIPS 204,https://csrc.nist.gov/pubs/fips/204/final
Signature,ML-DSA-87,Lattice,5,AES-256,2592,4896,4627,N/A,1.8x,1.7x,1.7x,~14000,Balanced,FIPS 204,Highest security; suitable for long-term archival,,yes,NIST,NIST,FIPS 204,https://csrc.nist.gov/pubs/fips/204/final
Signature,FN-DSA-512,Lattice,1,AES-128,897,1281,666,N/A,5x,3x,0.5x,~20000,Small Signature,FIPS 206 (Draft),Alternate lattice signature (Falcon-512); tiny signature (~0.65KB) and fast verification (requires floating-point arithmetic),,yes,NIST,NIST,Candidate,https://csrc.nist.gov/pubs/fips/206/ipd
Signature,FN-DSA-1024,Lattice,5,AES-256,1793,2305,1280,N/A,10x,6x,1x,~30000,Small Signature,FIPS 206 (Draft),High-security Falcon variant; small signature (~1.25KB) and fast verification,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/pubs/fips/206/ipd
Signature,SLH-DSA-SHA2-128s,Hash-based,1,AES-128,32,64,7856,N/A,50x,500x,50x,~5000,Small Keys,FIPS 205,Conservative hash-based; slow signing but small keys,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHAKE-128s,Hash-based,1,AES-128,32,64,7856,N/A,50x,500x,50x,~5000,Small Keys,FIPS 205,SHAKE-based hash-based signature; NIST recommends SHAKE variants for long-term security; conservative choice with tiny keys (32B pub),,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHA2-128f,Hash-based,1,AES-128,32,64,17088,N/A,10x,100x,10x,~5000,Fast Signing,FIPS 205,Fast signing variant (~5x faster than 128s); trades larger signatures (~17KB) for signing speed; good for high-throughput scenarios,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHAKE-128f,Hash-based,1,AES-128,32,64,17088,N/A,10x,100x,10x,~5000,Fast Signing,FIPS 205,SHAKE-based fast signing at Level 1; ~17KB signatures but significantly faster signing than 128s; preferred over SHA2 for long-term use,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHA2-192s,Hash-based,3,AES-192,48,96,16224,N/A,75x,750x,75x,~5000,Small Keys,FIPS 205,Level 3 hash-based with small signatures (~16KB); very slow signing but minimal key sizes; suited for firmware signing and archival,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHAKE-192s,Hash-based,3,AES-192,48,96,16224,N/A,75x,750x,75x,~5000,Small Keys,FIPS 205,SHAKE-based Level 3 small signature variant; NIST-preferred hash function for longevity; ~16KB signatures with tiny 48B public key,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHA2-192f,Hash-based,3,AES-192,48,96,35664,N/A,15x,150x,15x,~5000,Fast Signing,FIPS 205,Level 3 fast signing variant; ~36KB signatures but ~5x faster signing than 192s; useful when signing throughput matters more than bandwidth,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHAKE-192f,Hash-based,3,AES-192,48,96,35664,N/A,15x,150x,15x,~5000,Fast Signing,FIPS 205,SHAKE-based Level 3 fast variant; ~36KB signatures with fast signing; NIST-preferred hash for long-term quantum resilience,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHA2-256s,Hash-based,5,AES-256,64,128,29792,N/A,100x,1000x,100x,~5000,Small Keys,FIPS 205,Highest security hash-based (Level 5); ~30KB signatures; extremely slow signing but maximum quantum resilience for archival use,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHAKE-256s,Hash-based,5,AES-256,64,128,29792,N/A,100x,1000x,100x,~5000,Small Keys,FIPS 205,SHAKE-based Level 5 with smallest signatures at this security level (~30KB); NIST-preferred for maximum long-term quantum resistance,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHA2-256f,Hash-based,5,AES-256,64,128,49856,N/A,20x,200x,20x,~5000,Fast Signing,FIPS 205,256-bit fast signing; ~50KB signatures,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,SLH-DSA-SHAKE-256f,Hash-based,5,AES-256,64,128,49856,N/A,20x,200x,20x,~5000,Fast Signing,FIPS 205,SHAKE-based Level 5 fast variant; ~50KB signatures but ~5x faster signing than 256s; NIST-preferred hash for top-tier security,,yes,NIST,NIST,FIPS 205,https://csrc.nist.gov/pubs/fips/205/final
Signature,LMS-SHA256 (H20/W8),Hash-based,N/A,AES-128 to AES-256,60,64,1776,N/A,1x,50x,0.5x,~2000,Stateful,NIST SP 800-208,Security levels 1–5 depending on parameters. Stateful hash-based (HSS/LMS); CNSA 2.0 required for firmware signing. W8 Winternitz parameter gives smallest signatures. State management critical — private key state must never be reused.,,yes,NIST,NIST,SP 800-208,https://csrc.nist.gov/pubs/sp/800/208/final
Signature,XMSS-SHA2_20,Hash-based,N/A,AES-128 to AES-256,64,2573,2820,N/A,1x,80x,0.5x,~3000,Stateful,NIST SP 800-208,Security levels 1–5 depending on parameters. Stateful hash-based (eXtended Merkle Signature Scheme). SK size is implementation-dependent (liboqs reference). Same state management constraints as LMS. Limited number of signatures per key.,,yes,NIST,NIST,SP 800-208,https://csrc.nist.gov/pubs/sp/800/208/final
Classical KEM,RSA-2048,Classical,N/A,~112-bit,270,1190,256,256,Baseline,Baseline Sign,Baseline Verify,~2000,N/A,SP 800-56B,Deprecated 2030; vulnerable to Shor's algorithm,,yes,NIST,NIST,SP 800-56B,https://csrc.nist.gov/pubs/sp/800/56/b/r2/final
Classical KEM,RSA-3072,Classical,N/A,~128-bit,398,1770,384,384,2x,2.5x Sign,1.5x Verify,~3000,N/A,SP 800-56B,Extended deprecation; still vulnerable to quantum,,yes,NIST,NIST,SP 800-56B,https://csrc.nist.gov/pubs/sp/800/56/b/r2/final
Classical KEM,RSA-4096,Classical,N/A,~140-bit,526,2350,512,512,4x,7x Sign,3x Verify,~4000,N/A,SP 800-56B,Extended deprecation; highest classical RSA,,yes,NIST,NIST,SP 800-56B,https://csrc.nist.gov/pubs/sp/800/56/b/r2/final
Classical KEM,ECDH P-256,Classical,N/A,~128-bit,64,32,N/A,32,0.1x,0.2x,0.2x,~500,N/A,SP 800-56A,Compact keys; fast; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical KEM,ECDH P-384,Classical,N/A,~192-bit,96,48,N/A,48,0.15x,0.3x,0.3x,~700,N/A,SP 800-56A,192-bit equivalent; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical KEM,ECDH P-521,Classical,N/A,~256-bit,132,66,N/A,66,0.2x,0.4x,0.4x,~900,N/A,SP 800-56A,Highest NIST curve; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical KEM,X25519,Classical,N/A,~128-bit,32,32,N/A,32,0.05x,0.1x,0.1x,~400,N/A,RFC 7748,Very fast; compact; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical KEM,X448,Classical,N/A,~224-bit,56,56,N/A,56,0.08x,0.15x,0.15x,~600,N/A,RFC 7748,Higher security curve; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical Sig,ECDSA P-256,Classical,N/A,~128-bit,64,32,64,N/A,0.1x,0.3x Sign,0.4x Verify,~500,N/A,FIPS 186,Fast signing; compact; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical Sig,ECDSA P-384,Classical,N/A,~192-bit,96,48,96,N/A,0.15x,0.4x Sign,0.5x Verify,~700,N/A,FIPS 186,192-bit security; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical Sig,ECDSA P-521,Classical,N/A,~256-bit,132,66,132,N/A,0.2x,0.5x Sign,0.6x Verify,~900,N/A,FIPS 186,Highest NIST curve signature; vulnerable,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical Sig,Ed25519,Classical,N/A,~128-bit,32,64,64,N/A,0.02x,0.1x Sign,0.1x Verify,~300,N/A,RFC 8032,Very fast; deterministic; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical Sig,Ed448,Classical,N/A,~224-bit,57,114,114,N/A,0.04x,0.15x Sign,0.15x Verify,~500,N/A,RFC 8032,Higher security EdDSA; vulnerable to quantum,,yes,NIST,NIST,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186/5/final
Classical KEM,DH (Diffie-Hellman),Classical,N/A,~80-bit,256,256,N/A,256,~1x,N/A,N/A,~1000,N/A,RFC 7919,Legacy discrete-log key exchange; 2048-bit common; vulnerable to Shor's algorithm; NIST deprecated,,yes,NIST,NIST,RFC 7919,https://www.rfc-editor.org/rfc/rfc7919
Classical Sig,secp256k1,Classical,N/A,~128-bit,64,32,64,N/A,0.1x,0.3x Sign,0.4x Verify,~500,N/A,SEC 2,Bitcoin/Ethereum signature curve; vulnerable to Shor's algorithm; widely used in blockchain,secg,yes,NIST,NIST,SEC 2,
Hybrid KEM,X25519MLKEM768,Hybrid,3,AES-192,,,,32,,,,,Balanced,N/A,Hybrid TLS 1.3 key exchange combining X25519 and ML-KEM-768; deployed by major browsers; RFC 8446 / IETF hybrid TLS; inherits security level 3 from ML-KEM-768,ietf,yes,NIST,IETF,Candidate,
Hybrid KEM,SecP256r1MLKEM768,Hybrid,3,AES-192,,,,32,,,,,Balanced,N/A,Hybrid TLS 1.3 key exchange combining ECDH P-256 and ML-KEM-768; deployed in TLS 1.3 hybrid mode; security level 3,ietf,yes,NIST,IETF,Candidate,
Hybrid KEM,SecP384r1MLKEM1024,Hybrid,5,AES-256,,,,32,,,,,High Security,N/A,Hybrid TLS 1.3 key exchange combining ECDH P-384 and ML-KEM-1024; highest security hybrid; CNSA 2.0 aligned; security level 5 from ML-KEM-1024,ietf,yes,NIST,IETF,Candidate,
KEM,SMAUG-T-128,Lattice,1,AES-128,672,1344,736,32,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Lattice-based KEM using LWR. Level 1 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
KEM,SMAUG-T-192,Lattice,3,AES-192,992,1984,1056,32,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Level 3 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
KEM,SMAUG-T-256,Lattice,5,AES-256,1344,2688,1456,32,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Level 5 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
KEM,NTRU+-768,Lattice,1,AES-128,1158,2210,1213,32,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). NTRU-based KEM. Level 1 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
KEM,NTRU+-1152,Lattice,3,AES-192,1805,3322,1858,32,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Level 3 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
KEM,NTRU+-1277,Lattice,5,AES-256,1972,3571,2027,32,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Level 5 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
Signature,HAETAE-2,Lattice,2,AES-128,1312,1408,2760,N/A,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Lattice signature scheme. Level 2 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
Signature,HAETAE-3,Lattice,3,AES-192,1760,2096,3510,N/A,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Level 3 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
Signature,HAETAE-5,Lattice,5,AES-256,2208,2784,4768,N/A,N/A,N/A,N/A,N/A,Balanced,N/A,KpqC Final Winner 2025 (South Korea). Level 5 equivalent. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
Signature,AIMer-128f,Hash-based,1,AES-128,32,16,5904,N/A,N/A,N/A,N/A,N/A,Small Keys,N/A,KpqC Final Winner 2025 (South Korea). Zero-knowledge / AIM-based symmetric signature. Tiny keys (32B pub); ~6KB signatures. Level 1. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
Signature,AIMer-192f,Hash-based,3,AES-192,48,24,13944,N/A,N/A,N/A,N/A,N/A,Small Keys,N/A,KpqC Final Winner 2025 (South Korea). Level 3 equivalent. ~14KB signatures. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
Signature,AIMer-256f,Hash-based,5,AES-256,64,32,27928,N/A,N/A,N/A,N/A,N/A,Small Keys,N/A,KpqC Final Winner 2025 (South Korea). Level 5 equivalent. ~28KB signatures. National standard TBD.,,yes,KpqC,KpqC,Candidate,https://www.kpqc.or.kr
KEM,Aigis-enc-L1,Lattice,1,AES-128,672,1344,672,32,N/A,N/A,N/A,N/A,Balanced,N/A,CACR 1st Prize 2020 (China). LWE-based KEM. Targeting NGCC standardization ~2028. Status: To Be Checked pending NGCC outcome.,,yes,CACR,CACR,To Be Checked,
KEM,Aigis-enc-L5,Lattice,5,AES-256,1344,2688,1344,32,N/A,N/A,N/A,N/A,Balanced,N/A,CACR 1st Prize 2020 (China). Level 5 variant. Targeting NGCC standardization ~2028. Status: To Be Checked.,,yes,CACR,CACR,To Be Checked,
Signature,Aigis-sig-L1,Lattice,1,AES-128,1312,1376,2524,N/A,N/A,N/A,N/A,N/A,Balanced,N/A,CACR 1st Prize 2020 (China). Lattice signature. Similar parameter structure to ML-DSA. Targeting NGCC ~2028. Status: To Be Checked.,,yes,CACR,CACR,To Be Checked,
Signature,Aigis-sig-L5,Lattice,5,AES-256,2592,4864,4668,N/A,N/A,N/A,N/A,N/A,Balanced,N/A,CACR 1st Prize 2020 (China). Level 5 signature. Targeting NGCC ~2028. Status: To Be Checked.,,yes,CACR,CACR,To Be Checked,
Signature,MAYO-1,Multivariate,1,AES-128,1168,24,321,N/A,N/A,N/A,N/A,N/A,Small Signature,N/A,NIST Sig Round 2 advancing (Oct 2024). Multivariate (Mayo variant of UOV). Tiny SK (24B) and small sig (321B); large PK (~1.1KB). Final standard ~2027.,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-digital-signature-schemes
Signature,MAYO-2,Multivariate,1,AES-128,5488,24,180,N/A,N/A,N/A,N/A,N/A,Compact Signature,N/A,NIST Sig Round 2. MAYO-2: smallest signature (180B); largest PK (~5.4KB). Good for protocols where bandwidth favors tiny sigs. Final ~2027.,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-digital-signature-schemes
Signature,MAYO-3,Multivariate,3,AES-192,2656,32,577,N/A,N/A,N/A,N/A,N/A,Small Signature,N/A,NIST Sig Round 2. MAYO-3: Level 3. ~577B signatures; ~2.6KB PK. Final ~2027.,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-digital-signature-schemes
Signature,MAYO-5,Multivariate,5,AES-256,5488,40,838,N/A,N/A,N/A,N/A,N/A,Small Signature,N/A,NIST Sig Round 2. MAYO-5: Level 5. ~838B signatures; ~5.4KB PK. Final ~2027.,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-digital-signature-schemes
Signature,HAWK-512,Lattice,1,AES-128,1024,2480,555,N/A,N/A,N/A,N/A,N/A,Small Signature,N/A,NIST Sig Round 2 advancing (Oct 2024). Lattice-based (distinct from Falcon/FN-DSA). Small ~555B signatures; 1KB public key. Final ~2027.,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-digital-signature-schemes
Signature,HAWK-1024,Lattice,5,AES-256,2048,5120,1024,N/A,N/A,N/A,N/A,N/A,Small Signature,N/A,NIST Sig Round 2 advancing. Level 5 variant. ~1KB signatures; 2KB public key. Final ~2027.,,yes,NIST,NIST,Candidate,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-digital-signature-schemes
Signature,SLH-DSA-SHA2-128-24,Hash-based,1,AES-128,32,64,3856,N/A,100x,2000x,5x,~3000,Fast Verification,NIST SP 800-230 (Draft),Limited-signature variant (2^24/key max); ~50% smaller sig than SLH-DSA-SHA2-128s; fast verify; for firmware/software/certificate signing only; NOT general purpose,nist-csrc,partial,NIST,Global,Draft,https://csrc.nist.gov/pubs/sp/800/230/ipd
Signature,SLH-DSA-SHAKE-128-24,Hash-based,1,AES-128,32,64,3856,N/A,100x,2000x,5x,~3000,Fast Verification,NIST SP 800-230 (Draft),Limited-signature variant (2^24/key max); SHAKE hash variant of SHA2-128-24; fast verify; for firmware/software/certificate signing only; NOT general purpose,nist-csrc,partial,NIST,Global,Draft,https://csrc.nist.gov/pubs/sp/800/230/ipd
Signature,SLH-DSA-SHA2-192-24,Hash-based,3,AES-192,48,96,7752,N/A,100x,2000x,5x,~3000,Fast Verification,NIST SP 800-230 (Draft),Limited-signature variant (2^24/key max); ~52% smaller sig than SLH-DSA-SHA2-192s; fast verify; for firmware/software/certificate signing only; NOT general purpose,nist-csrc,partial,NIST,Global,Draft,https://csrc.nist.gov/pubs/sp/800/230/ipd
Signature,SLH-DSA-SHAKE-192-24,Hash-based,3,AES-192,48,96,7752,N/A,100x,2000x,5x,~3000,Fast Verification,NIST SP 800-230 (Draft),Limited-signature variant (2^24/key max); SHAKE hash variant of SHA2-192-24; fast verify; for firmware/software/certificate signing only; NOT general purpose,nist-csrc,partial,NIST,Global,Draft,https://csrc.nist.gov/pubs/sp/800/230/ipd
Signature,SLH-DSA-SHA2-256-24,Hash-based,5,AES-256,64,128,14944,N/A,100x,2000x,5x,~3000,Fast Verification,NIST SP 800-230 (Draft),Limited-signature variant (2^24/key max); ~50% smaller sig than SLH-DSA-SHA2-256s; fast verify; for firmware/software/certificate signing only; NOT general purpose,nist-csrc,partial,NIST,Global,Draft,https://csrc.nist.gov/pubs/sp/800/230/ipd
Signature,SLH-DSA-SHAKE-256-24,Hash-based,5,AES-256,64,128,14944,N/A,100x,2000x,5x,~3000,Fast Verification,NIST SP 800-230 (Draft),Limited-signature variant (2^24/key max); SHAKE hash variant of SHA2-256-24; fast verify; for firmware/software/certificate signing only; NOT general purpose,nist-csrc,partial,NIST,Global,Draft,https://csrc.nist.gov/pubs/sp/800/230/ipd
